path,component,auth_wrapper
/shift,ShiftStart,
/field-leadership,Navigate,
/odr/new,OdrNew,
/odr/center,OdrCenter,
/pm/odr,OdrPmPanel,
/odr/public/:doc_id,OdrPublicViewer,
/odr/:id/done,OdrDone,
/odr/:id,OdrDetail,
/operational-records,OperationalRecords,
*,NotFound,
